,Open,High,Low,Close,Volume
2025-07-01 13:41:00,2989.0,2989.0,2987.0,2989.0,122408530.0
2025-07-01 13:42:00,2988.0,2988.0,2987.0,2987.0,122731817.0
2025-07-01 13:43:00,2987.0,2989.0,2987.0,2988.0,122956737.0
2025-07-01 13:44:00,2988.0,2989.0,2987.0,2988.0,123342789.0
2025-07-01 13:45:00,2988.0,2990.0,2988.0,2990.0,123662709.0
2025-07-01 13:46:00,2990.0,2991.0,2989.0,2989.0,124089970.0
2025-07-01 13:47:00,2990.0,2990.0,2989.0,2989.0,124497688.0
2025-07-01 13:48:00,2989.0,2990.0,2987.0,2987.0,125119129.0
2025-07-01 13:49:00,2987.0,2989.0,2987.0,2988.0,125977419.0
2025-07-01 13:50:00,2988.0,2989.0,2988.0,2989.0,126133681.0
2025-07-01 13:51:00,2989.0,2990.0,2988.0,2989.0,126231990.0
2025-07-01 13:52:00,2989.0,2990.0,2988.0,2989.0,126450915.0
2025-07-01 13:53:00,2989.0,2990.0,2988.0,2990.0,126829365.0
2025-07-01 13:54:00,2989.0,2991.0,2989.0,2991.0,127082862.0
2025-07-01 13:55:00,2990.0,2991.0,2990.0,2991.0,127425212.0
2025-07-01 13:56:00,2991.0,2991.0,2989.0,2990.0,126626333.0
2025-07-01 13:57:00,2990.0,2990.0,2989.0,2990.0,125771535.0
2025-07-01 13:58:00,2989.0,2990.0,2988.0,2988.0,128095316.0
2025-07-01 13:59:00,2988.0,2991.0,2988.0,2990.0,128320483.0
2025-07-01 14:00:00,2990.0,2990.0,2988.0,2989.0,128592275.0
2025-07-01 14:01:00,2989.0,2989.0,2988.0,2989.0,128788270.0
2025-07-01 14:02:00,2988.0,2990.0,2988.0,2990.0,128900481.0
2025-07-01 14:03:00,2990.0,2990.0,2988.0,2989.0,129120941.0
2025-07-01 14:04:00,2989.0,2991.0,2989.0,2989.0,128306617.0
2025-07-01 14:05:00,2990.0,2992.0,2989.0,2992.0,130062072.0
2025-07-01 14:06:00,2991.0,2992.0,2991.0,2991.0,130415570.0
2025-07-01 14:07:00,2991.0,2992.0,2991.0,2992.0,130811562.0
2025-07-01 14:08:00,2992.0,2993.0,2991.0,2993.0,131243944.0
2025-07-01 14:09:00,2993.0,2993.0,2991.0,2991.0,131953506.0
2025-07-01 14:10:00,2992.0,2992.0,2990.0,2991.0,132494072.0
2025-07-01 14:11:00,2990.0,2991.0,2989.0,2990.0,132783342.0
2025-07-01 14:12:00,2989.0,2991.0,2989.0,2990.0,133131979.0
2025-07-01 14:13:00,2990.0,2992.0,2990.0,2991.0,133414753.0
2025-07-01 14:14:00,2992.0,2993.0,2991.0,2993.0,132648505.0
2025-07-01 14:15:00,2992.0,2994.0,2992.0,2993.0,134306963.0
2025-07-01 14:16:00,2993.0,2994.0,2992.0,2994.0,134825042.0
2025-07-01 14:17:00,2994.0,2995.0,2993.0,2994.0,135924106.0
2025-07-01 14:18:00,2993.0,2994.0,2992.0,2992.0,136673455.0
2025-07-01 14:19:00,2992.0,2994.0,2992.0,2994.0,136999601.0
2025-07-01 14:20:00,2993.0,2995.0,2992.0,2992.0,137613052.0
2025-07-01 14:21:00,2992.0,2993.0,2990.0,2990.0,138233329.0
2025-07-01 14:22:00,2990.0,2991.0,2989.0,2990.0,138720466.0
2025-07-01 14:23:00,2990.0,2990.0,2989.0,2989.0,139221477.0
2025-07-01 14:24:00,2989.0,2991.0,2989.0,2991.0,139699058.0
2025-07-01 14:25:00,2991.0,2994.0,2991.0,2992.0,140314863.0
2025-07-01 14:26:00,2992.0,2995.0,2992.0,2994.0,140927767.0
2025-07-01 14:27:00,2993.0,2995.0,2993.0,2994.0,141864603.0
2025-07-01 14:28:00,2995.0,2996.0,2994.0,2996.0,142612725.0
2025-07-01 14:29:00,2996.0,2996.0,2994.0,2995.0,143405172.0
2025-07-01 14:30:00,2995.0,2996.0,2994.0,2994.0,144045519.0
2025-07-01 14:31:00,2994.0,2996.0,2994.0,2995.0,144353027.0
2025-07-01 14:32:00,2995.0,2996.0,2994.0,2995.0,144717416.0
2025-07-01 14:33:00,2995.0,2996.0,2994.0,2996.0,145184327.0
2025-07-01 14:34:00,2996.0,2996.0,2994.0,2995.0,145648150.0
2025-07-01 14:35:00,2996.0,2996.0,2994.0,2995.0,146331005.0
2025-07-01 14:36:00,2995.0,2998.0,2995.0,2997.0,147153023.0
2025-07-01 14:37:00,2998.0,3000.0,2997.0,2999.0,148563140.0
2025-07-01 14:38:00,2998.0,2999.0,2997.0,2999.0,149758102.0
2025-07-01 14:39:00,2998.0,3000.0,2998.0,2999.0,150572631.0
2025-07-01 14:40:00,2999.0,3000.0,2998.0,2998.0,151366911.0
2025-07-01 14:41:00,2998.0,2999.0,2997.0,2997.0,151897117.0
2025-07-01 14:42:00,2997.0,2998.0,2996.0,2996.0,152474571.0
2025-07-01 14:43:00,2996.0,2998.0,2995.0,2996.0,152914315.0
2025-07-01 14:44:00,2996.0,2998.0,2996.0,2996.0,153515207.0
2025-07-01 14:45:00,2997.0,2997.0,2995.0,2996.0,154084613.0
2025-07-01 14:46:00,2996.0,2998.0,2995.0,2998.0,154568222.0
2025-07-01 14:47:00,2997.0,2998.0,2997.0,2997.0,154856868.0
2025-07-01 14:48:00,2998.0,2998.0,2996.0,2997.0,155218156.0
2025-07-01 14:49:00,2996.0,2999.0,2996.0,2999.0,155680858.0
2025-07-01 14:50:00,2999.0,3000.0,2998.0,2999.0,156569060.0
2025-07-01 14:51:00,3000.0,3000.0,2998.0,2998.0,157022963.0
2025-07-01 14:52:00,2998.0,3000.0,2998.0,2999.0,157343102.0
2025-07-01 14:53:00,2999.0,3000.0,2999.0,2999.0,157718940.0
2025-07-01 14:54:00,2999.0,3000.0,2999.0,3000.0,158108861.0
2025-07-01 14:55:00,3000.0,3002.0,3000.0,3001.0,159610013.0
2025-07-01 14:56:00,3002.0,3002.0,3000.0,3001.0,160315725.0
2025-07-01 14:57:00,3001.0,3003.0,3000.0,3002.0,161271471.0
2025-07-01 14:58:00,3002.0,3003.0,3002.0,3003.0,162432296.0
2025-07-01 14:59:00,3002.0,3004.0,3002.0,3003.0,163714253.0
2025-07-01 15:00:00,3003.0,3003.0,3003.0,3003.0,2744768.0
2025-07-01 20:59:00,3003.0,3003.0,3003.0,3003.0,4456.0
2025-07-01 21:00:00,3004.0,3010.0,3004.0,3009.0,3500057.0
2025-07-01 21:01:00,3009.0,3016.0,3009.0,3015.0,7118527.0
2025-07-01 21:02:00,3015.0,3018.0,3013.0,3017.0,12307121.0
2025-07-01 21:03:00,3017.0,3018.0,3013.0,3016.0,16202075.0
2025-07-01 21:04:00,3015.0,3016.0,3013.0,3014.0,18751943.0
2025-07-01 21:05:00,3015.0,3018.0,3013.0,3018.0,20858345.0
2025-07-01 21:06:00,3018.0,3018.0,3016.0,3017.0,23385494.0
2025-07-01 21:07:00,3016.0,3017.0,3015.0,3016.0,24742161.0
2025-07-01 21:08:00,3016.0,3018.0,3016.0,3017.0,25881194.0
2025-07-01 21:09:00,3016.0,3017.0,3015.0,3015.0,26943419.0
2025-07-01 21:10:00,3016.0,3017.0,3015.0,3015.0,27896882.0
2025-07-01 21:11:00,3015.0,3016.0,3015.0,3016.0,28842501.0
2025-07-01 21:12:00,3015.0,3016.0,3015.0,3015.0,29361721.0
2025-07-01 21:13:00,3015.0,3016.0,3013.0,3013.0,30218901.0
2025-07-01 21:14:00,3013.0,3014.0,3012.0,3013.0,31228447.0
2025-07-01 21:15:00,3013.0,3017.0,3013.0,3016.0,32533197.0
2025-07-01 21:16:00,3016.0,3017.0,3015.0,3015.0,33663355.0
2025-07-01 21:17:00,3016.0,3017.0,3016.0,3016.0,34444120.0
2025-07-01 21:18:00,3017.0,3017.0,3016.0,3016.0,35208386.0
2025-07-01 21:19:00,3016.0,3020.0,3016.0,3019.0,37130500.0
2025-07-01 21:20:00,3019.0,3020.0,3018.0,3019.0,39103080.0
2025-07-01 21:21:00,3019.0,3020.0,3018.0,3019.0,40773721.0
2025-07-01 21:22:00,3019.0,3020.0,3018.0,3020.0,41880999.0
2025-07-01 21:23:00,3020.0,3021.0,3019.0,3019.0,44074818.0
2025-07-01 21:24:00,3019.0,3022.0,3019.0,3022.0,45707949.0
2025-07-01 21:25:00,3022.0,3023.0,3019.0,3019.0,47509761.0
2025-07-01 21:26:00,3019.0,3020.0,3018.0,3019.0,48659793.0
2025-07-01 21:27:00,3020.0,3020.0,3019.0,3019.0,49264098.0
2025-07-01 21:28:00,3020.0,3020.0,3019.0,3019.0,49566233.0
2025-07-01 21:29:00,3019.0,3020.0,3019.0,3019.0,50048459.0
2025-07-01 21:30:00,3019.0,3022.0,3019.0,3022.0,50962613.0
2025-07-01 21:31:00,3021.0,3022.0,3020.0,3020.0,51727810.0
2025-07-01 21:32:00,3020.0,3022.0,3020.0,3021.0,52091863.0
2025-07-01 21:33:00,3020.0,3021.0,3018.0,3019.0,52859327.0
2025-07-01 21:34:00,3018.0,3019.0,3018.0,3018.0,53510071.0
2025-07-01 21:35:00,3018.0,3020.0,3018.0,3019.0,53939851.0
2025-07-01 21:36:00,3019.0,3020.0,3019.0,3019.0,54359466.0
2025-07-01 21:37:00,3019.0,3020.0,3019.0,3020.0,54866386.0
2025-07-01 21:38:00,3019.0,3020.0,3018.0,3018.0,55333593.0
2025-07-01 21:39:00,3018.0,3019.0,3018.0,3018.0,55675077.0
2025-07-01 21:40:00,3018.0,3020.0,3018.0,3020.0,56010709.0
2025-07-01 21:41:00,3020.0,3021.0,3019.0,3020.0,56627993.0
2025-07-01 21:42:00,3020.0,3022.0,3020.0,3021.0,57299726.0
2025-07-01 21:43:00,3021.0,3022.0,3020.0,3021.0,58112524.0
2025-07-01 21:44:00,3021.0,3022.0,3021.0,3021.0,58550776.0
2025-07-01 21:45:00,3021.0,3021.0,3020.0,3020.0,59003501.0
2025-07-01 21:46:00,3020.0,3022.0,3020.0,3021.0,59462797.0
2025-07-01 21:47:00,3022.0,3023.0,3021.0,3022.0,60152739.0
2025-07-01 21:48:00,3022.0,3024.0,3022.0,3024.0,60944110.0
2025-07-01 21:49:00,3024.0,3024.0,3023.0,3024.0,62392410.0
2025-07-01 21:50:00,3023.0,3024.0,3023.0,3023.0,63057743.0
2025-07-01 21:51:00,3024.0,3024.0,3022.0,3022.0,63803112.0
2025-07-01 21:52:00,3022.0,3023.0,3022.0,3022.0,64283168.0
2025-07-01 21:53:00,3022.0,3023.0,3021.0,3022.0,64577155.0
2025-07-01 21:54:00,3022.0,3023.0,3021.0,3022.0,65006420.0
2025-07-01 21:55:00,3023.0,3023.0,3021.0,3021.0,65435355.0
2025-07-01 21:56:00,3021.0,3023.0,3021.0,3022.0,65765184.0
2025-07-01 21:57:00,3023.0,3023.0,3021.0,3022.0,66159050.0
2025-07-01 21:58:00,3021.0,3022.0,3020.0,3021.0,66435159.0
2025-07-01 21:59:00,3021.0,3021.0,3020.0,3020.0,66886758.0
2025-07-01 22:00:00,3020.0,3021.0,3019.0,3019.0,67544627.0
2025-07-01 22:01:00,3019.0,3020.0,3019.0,3019.0,67951985.0
2025-07-01 22:02:00,3019.0,3020.0,3018.0,3019.0,68510625.0
2025-07-01 22:03:00,3020.0,3020.0,3017.0,3017.0,69202592.0
2025-07-01 22:04:00,3017.0,3018.0,3016.0,3017.0,70539173.0
2025-07-01 22:05:00,3017.0,3018.0,3015.0,3016.0,71350858.0
2025-07-01 22:06:00,3016.0,3018.0,3016.0,3017.0,72364718.0
2025-07-01 22:07:00,3017.0,3018.0,3017.0,3017.0,72880670.0
2025-07-01 22:08:00,3018.0,3018.0,3017.0,3017.0,73154313.0
2025-07-01 22:09:00,3018.0,3019.0,3017.0,3018.0,73330674.0
2025-07-01 22:10:00,3019.0,3019.0,3018.0,3018.0,73573055.0
2025-07-01 22:11:00,3019.0,3019.0,3017.0,3017.0,73964642.0
2025-07-01 22:12:00,3017.0,3018.0,3017.0,3017.0,74099052.0
2025-07-01 22:13:00,3017.0,3019.0,3017.0,3018.0,74418907.0
2025-07-01 22:14:00,3018.0,3018.0,3017.0,3017.0,74821581.0
2025-07-01 22:15:00,3017.0,3019.0,3017.0,3018.0,75088837.0
2025-07-01 22:16:00,3019.0,3019.0,3018.0,3019.0,75316816.0
2025-07-01 22:17:00,3018.0,3019.0,3018.0,3018.0,75399079.0
2025-07-01 22:18:00,3018.0,3019.0,3017.0,3017.0,75580453.0
2025-07-01 22:19:00,3018.0,3018.0,3017.0,3017.0,75820881.0
2025-07-01 22:20:00,3017.0,3018.0,3017.0,3018.0,75952184.0
2025-07-01 22:21:00,3018.0,3019.0,3018.0,3019.0,76274001.0
2025-07-01 22:22:00,3019.0,3019.0,3017.0,3017.0,76506777.0
2025-07-01 22:23:00,3017.0,3018.0,3017.0,3017.0,76744044.0
2025-07-01 22:24:00,3017.0,3018.0,3017.0,3017.0,76852784.0
2025-07-01 22:25:00,3017.0,3019.0,3017.0,3017.0,77245545.0
2025-07-01 22:26:00,3017.0,3018.0,3017.0,3017.0,77512050.0
2025-07-01 22:27:00,3017.0,3018.0,3016.0,3017.0,77895613.0
2025-07-01 22:28:00,3016.0,3018.0,3016.0,3016.0,78495929.0
2025-07-01 22:29:00,3016.0,3017.0,3014.0,3015.0,79239415.0
2025-07-01 22:30:00,3015.0,3017.0,3015.0,3016.0,80475678.0
2025-07-01 22:31:00,3016.0,3017.0,3016.0,3016.0,80734635.0
2025-07-01 22:32:00,3016.0,3017.0,3016.0,3016.0,80859579.0
2025-07-01 22:33:00,3016.0,3017.0,3016.0,3016.0,80972104.0
2025-07-01 22:34:00,3016.0,3017.0,3015.0,3016.0,81260124.0
2025-07-01 22:35:00,3016.0,3017.0,3015.0,3015.0,81644642.0
2025-07-01 22:36:00,3016.0,3016.0,3013.0,3014.0,82088274.0
2025-07-01 22:37:00,3014.0,3017.0,3014.0,3017.0,83335572.0
2025-07-01 22:38:00,3017.0,3018.0,3016.0,3018.0,83852228.0
2025-07-01 22:39:00,3017.0,3018.0,3016.0,3016.0,84217040.0
2025-07-01 22:40:00,3016.0,3017.0,3016.0,3017.0,84405494.0
2025-07-01 22:41:00,3017.0,3017.0,3015.0,3015.0,84550975.0
2025-07-01 22:42:00,3016.0,3016.0,3015.0,3016.0,84718980.0
2025-07-01 22:43:00,3016.0,3016.0,3013.0,3014.0,85125365.0
2025-07-01 22:44:00,3013.0,3015.0,3013.0,3014.0,85838315.0
2025-07-01 22:45:00,3014.0,3015.0,3014.0,3015.0,86089048.0
2025-07-01 22:46:00,3015.0,3015.0,3014.0,3015.0,86204997.0
2025-07-01 22:47:00,3015.0,3015.0,3014.0,3015.0,86445056.0
2025-07-01 22:48:00,3014.0,3015.0,3013.0,3014.0,86704864.0
2025-07-01 22:49:00,3015.0,3016.0,3014.0,3016.0,87065734.0
2025-07-01 22:50:00,3016.0,3016.0,3015.0,3015.0,87205149.0
2025-07-01 22:51:00,3015.0,3016.0,3014.0,3015.0,86714681.0
2025-07-01 22:52:00,3016.0,3016.0,3014.0,3015.0,86902216.0
2025-07-01 22:53:00,3015.0,3015.0,3013.0,3014.0,87960811.0
2025-07-01 22:54:00,3014.0,3014.0,3012.0,3013.0,88768573.0
2025-07-01 22:55:00,3013.0,3013.0,3012.0,3013.0,89372104.0
2025-07-01 22:56:00,3013.0,3013.0,3011.0,3012.0,90117343.0
2025-07-01 22:57:00,3011.0,3012.0,3011.0,3012.0,90636342.0
2025-07-01 22:58:00,3011.0,3013.0,3011.0,3012.0,91383563.0
2025-07-01 22:59:00,3013.0,3015.0,3012.0,3013.0,92328923.0
2025-07-01 23:00:00,3014.0,3014.0,3014.0,3014.0,1547608.0
